id,filename,stimulus_type,included,draft,training,participant_id,satisfaction,sound_label,sound_label_id,sound_recording,sound_recording_id,audio_concept_subset,participants_sound_recording_description,participants_sound_recording_description_confidence,description_match
5742187530682368,subsynth 374 - 5742187530682368.wav,sound recording,False,True,False,5689413791121408,,subsynth 374,,subsynth_374.wav,4573161991438336,single synthesizer,,,
5721941054849024,subsynth 2043 - 5721941054849024.wav,sound recording,True,False,False,5689413791121408,Somewhat satisfied,subsynth 2043,,subsynth_2043.wav,5964937016901632,single synthesizer,air lock release,Not so confident,
5103508713897984,subsynth 374 - 5103508713897984.wav,sound recording,True,False,False,5689413791121408,Mostly satisfied,subsynth 374,,subsynth_374.wav,4573161991438336,single synthesizer,hovercraft,Neutral,
5650129201659904,subsynth 5940 - 5650129201659904.wav,sound recording,True,False,False,5689413791121408,Somewhat satisfied,subsynth 5940,,subsynth_5940.wav,4573873882267648,single synthesizer,cartoon sword unsheathing,Neutral,
5666458667319296,subsynth 374 - 5666458667319296.wav,sound recording,False,True,False,5689413791121408,,subsynth 374,,subsynth_374.wav,4573161991438336,single synthesizer,,,
5683045831016448,orchestra bells - 5683045831016448.wav,sound recording,True,False,False,5689413791121408,Somewhat satisfied,orchestra bells,,orchestra_bells.wav,5791563951112192,acoustic instruments,glockenspiel,Neutral,
6021308194226176,snoring - 6021308194226176.wav,sound label,True,False,False,6008864868663296,Completely satisfied,snoring,5035099951202304,,,everyday sounds,,Very confident,
5072713127297024,trombone - 5072713127297024.wav,sound label,True,False,False,6008864868663296,Neither satisfied or dissatisfied,trombone,5214725415632896,,,acoustic instruments,,Very confident,
5204173486292992,zipper - 5204173486292992.wav,sound label,True,False,False,6008864868663296,Neither satisfied or dissatisfied,zipper,5449641873113088,,,everyday sounds,,Very confident,
5701496339431424,violin - 5701496339431424.wav,sound label,False,False,False,6008864868663296,Somewhat dissatisfied,violin,5598049904623616,,,everyday sounds,,Very confident,
5897486971437056,hihat - 5897486971437056.wav,sound recording,False,True,False,6433509090525184,,hihat,,hihat.wav,5992665325764608,acoustic instruments,,,
6409536193691648,basketball - 6409536193691648.wav,sound recording,True,False,False,6433509090525184,Mostly satisfied,basketball,,basketball_dribbling.wav,5543135526518784,everyday sounds,bouncing basketball,Confident,True
6629263499329536,hihat - 6629263499329536.wav,sound recording,True,False,False,6433509090525184,Completely satisfied,hihat,,hihat.wav,5992665325764608,acoustic instruments,cymbal,Neutral,
5515243472027648,resonant clouds - 5515243472027648.wav,sound recording,True,False,False,6433509090525184,Mostly satisfied,resonant clouds,,resonant_clouds.wav,5359346628165632,commercial synthesizers,synthesizer,Not at all confident,
6082978019016704,firecrackers - 6082978019016704.wav,sound recording,True,False,False,6433509090525184,Mostly satisfied,firecrackers,,firecrackers_sounding.wav,6138247537229824,everyday sounds,fireworks,Confident,True
5100361845047296,cork popping - 5100361845047296.wav,sound recording,False,True,False,6013727576948736,,cork popping,,cork_popping.wav,5997611785912320,everyday sounds,,,
5107553767784448,cork popping - 5107553767784448.wav,sound recording,False,True,False,6013727576948736,,cork popping,,cork_popping.wav,5997611785912320,everyday sounds,,,
5543715883974656,ping-pong - 5543715883974656.wav,sound recording,False,True,False,6013727576948736,,ping-pong,,ping-pong_playing.wav,6262723742531584,everyday sounds,,,
6607635117768704,bicycle bell - 6607635117768704.wav,sound recording,False,True,False,6013727576948736,,bicycle bell,,bicycle_bell_ringing.wav,6527886970322944,everyday sounds,,,
5463262556585984,bicycle bell - 5463262556585984.wav,sound recording,False,True,False,6013727576948736,,bicycle bell,,bicycle_bell_ringing.wav,6527886970322944,everyday sounds,,,
6477922273591296,bicycle bell - 6477922273591296.wav,sound recording,False,True,False,6013727576948736,,bicycle bell,,bicycle_bell_ringing.wav,6527886970322944,everyday sounds,,,
6043227425603584,cork popping - 6043227425603584.wav,sound recording,True,False,False,6013727576948736,Mostly satisfied,cork popping,,cork_popping.wav,5997611785912320,everyday sounds,Character jumping in game,Not at all confident,False
6589162463428608,ping-pong - 6589162463428608.wav,sound recording,True,False,False,6013727576948736,Completely dissatisfied,ping-pong,,ping-pong_playing.wav,6262723742531584,everyday sounds,Güiro,Not so confident,False
6251114177495040,classic synth brass - 6251114177495040.wav,sound recording,True,False,False,6013727576948736,Somewhat satisfied,classic synth brass,,classic_synth_brass.wav,4652282805223424,commercial synthesizers,French horn,Neutral,
4792483154231296,bicycle bell - 4792483154231296.wav,sound recording,True,False,False,6013727576948736,Completely satisfied,bicycle bell,,bicycle_bell_ringing.wav,6527886970322944,everyday sounds,Bicycle bell,Very confident,True
6110502719586304,subsynth 2003 - 6110502719586304.wav,sound recording,False,True,False,4902656044695552,,subsynth 2003,,subsynth_2003.wav,5077664150847488,single synthesizer,,,
5312875753111552,alien discovery - 5312875753111552.wav,sound recording,True,False,False,4902656044695552,Somewhat satisfied,alien discovery,,alien_discovery.wav,5754241759051776,commercial synthesizers,alien communication,Confident,
6556062626873344,subsynth 2003 - 6556062626873344.wav,sound recording,True,False,False,4902656044695552,Neither satisfied or dissatisfied,subsynth 2003,,subsynth_2003.wav,5077664150847488,single synthesizer,carwash,Neutral,
5777385056108544,violin (bowed) - 5777385056108544.wav,sound recording,False,False,True,4902656044695552,Somewhat satisfied,violin (bowed),,violin_bowed.wav,4793020293578752,acoustic instruments,violin,Confident,
5404332786712576,viola (bowed) - 5404332786712576.wav,sound recording,True,False,False,4902656044695552,Mostly satisfied,viola (bowed),,viola_bowed.wav,5988781601587200,acoustic instruments,violin,Very confident,
6570571026399232,subsynth 2003 - 6570571026399232.wav,sound recording,False,True,False,4902656044695552,,subsynth 2003,,subsynth_2003.wav,5077664150847488,single synthesizer,,,
6340335009529856,seal - 6340335009529856.wav,sound recording,True,False,False,4902656044695552,Mostly satisfied,seal,,seal_barking.wav,5070423641292800,everyday sounds,seal bark,Very confident,True
4734473044230144,feedback - 4734473044230144.wav,sound recording,True,False,False,4947930100269056,Mostly dissatisfied,feedback,,feedback.wav,6481870153842688,commercial synthesizers,guitar distortion,Not so confident,
6323211511791616,can crush - 6323211511791616.wav,sound recording,True,False,False,4947930100269056,Somewhat satisfied,can crush,,can_crushing.wav,6668624458678272,everyday sounds,keyboard noises,Neutral,False
4915836628238336,resonant clouds - 4915836628238336.wav,sound recording,True,False,False,4947930100269056,Somewhat satisfied,resonant clouds,,resonant_clouds.wav,5359346628165632,commercial synthesizers,some sort of synth,Neutral,
6246658014707712,horn - 6246658014707712.wav,sound recording,True,False,False,4947930100269056,Mostly satisfied,horn,,horn.wav,6701197490651136,acoustic instruments,trumpet,Confident,
6234269852631040,pig - 6234269852631040.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
4971006154244096,pig - 4971006154244096.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
6449997469974528,pig - 6449997469974528.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
5531398454640640,pig - 5531398454640640.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
6750196356612096,pig - 6750196356612096.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
5484308433207296,glass breaking - 5484308433207296.wav,sound label,False,False,False,6222772225179648,Mostly satisfied,glass breaking,5355462903988224,,,everyday sounds,,Confident,
5675269121638400,guitar - 5675269121638400.wav,sound label,False,False,False,6222772225179648,Mostly satisfied,guitar,6704219805450240,,,everyday sounds,,Very confident,
6064298669375488,gong - 6064298669375488.wav,sound label,False,False,False,6222772225179648,Mostly satisfied,gong,5316574927912960,,,everyday sounds,,Very confident,
5501348715954176,pig - 5501348715954176.wav,sound label,False,False,False,6222772225179648,Completely satisfied,pig,4910538383425536,,,everyday sounds,,Confident,
4634918520881152,pig - 4634918520881152.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
5258210617327616,pig - 5258210617327616.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
6700194347352064,pig - 6700194347352064.wav,sound label,False,True,False,6222772225179648,,pig,4910538383425536,,,everyday sounds,,,
6424540661940224,bicycle bell - 6424540661940224.wav,sound label,False,True,False,4622392785633280,,bicycle bell,4874221482147840,,,everyday sounds,,,
5028624751132672,explosion - 5028624751132672.wav,sound label,False,True,False,4622392785633280,,explosion,6226827479613440,,,everyday sounds,,,
5800194151022592,viola (bowed) - 5800194151022592.wav,sound label,True,False,False,4622392785633280,Completely satisfied,viola (bowed),6599388243689472,,,acoustic instruments,,Confident,
5905188921540608,bicycle bell - 5905188921540608.wav,sound label,True,False,False,4622392785633280,Completely satisfied,bicycle bell,4874221482147840,,,everyday sounds,,Very confident,
5017165778386944,explosion - 5017165778386944.wav,sound label,False,False,False,4622392785633280,Mostly satisfied,explosion,6226827479613440,,,everyday sounds,,Very confident,
4633023903432704,laughing - 4633023903432704.wav,sound label,False,False,False,4622392785633280,Completely satisfied,laughing,6442474834755584,,,everyday sounds,,Very confident,
6490339560914944,viola (bowed) - 6490339560914944.wav,sound label,False,True,False,4622392785633280,,viola (bowed),6599388243689472,,,acoustic instruments,,,
6096581254184960,explosion - 6096581254184960.wav,sound label,False,True,False,4622392785633280,,explosion,6226827479613440,,,everyday sounds,,,
6514932409434112,chickens - 6514932409434112.wav,sound recording,True,False,False,5820401837932544,Somewhat satisfied,chickens,,chickens_clucking.wav,5190880830947328,everyday sounds,a chicken or rooster,Confident,True
5604760119934976,sneeze - 5604760119934976.wav,sound recording,True,False,False,5820401837932544,Completely satisfied,sneeze,,woman_sneezing.wav,5699773789110272,everyday sounds,sneezing,Very confident,True
4624133186912256,dissonant bells - 4624133186912256.wav,sound recording,False,False,False,5820401837932544,Somewhat satisfied,dissonant bells,,dissonant_bells.wav,5074495270289408,commercial synthesizers,a cymbol with a filter,Neutral,
5397940264763392,dissonant bells - 5397940264763392.wav,sound recording,False,True,False,5820401837932544,,dissonant bells,,dissonant_bells.wav,5074495270289408,commercial synthesizers,,,
5308845463175168,donkey - 5308845463175168.wav,sound recording,True,False,False,5820401837932544,Completely satisfied,donkey,,donkey_hawing.wav,6471201455079424,everyday sounds,donkey,Confident,True
6750041200918528,shuffling cards - 6750041200918528.wav,sound label,True,False,False,6516211638599680,Somewhat dissatisfied,shuffling cards,6141269852028928,,,everyday sounds,,Confident,
4627726061273088,chickens - 4627726061273088.wav,sound label,True,False,False,6516211638599680,Somewhat dissatisfied,chickens,4629063406714880,,,everyday sounds,,Neutral,
5339041364967424,viola (bowed) - 5339041364967424.wav,sound label,True,False,False,6516211638599680,Mostly dissatisfied,viola (bowed),6599388243689472,,,acoustic instruments,,Not at all confident,
6105469689004032,mosquito - 6105469689004032.wav,sound label,True,False,False,6516211638599680,Somewhat dissatisfied,mosquito,6116508828696576,,,everyday sounds,,Neutral,
4511008177520640,filter bubble - 4511008177520640.wav,sound recording,False,True,False,5833329823711232,,filter bubble,,filter_bubble.wav,5922296581586944,commercial synthesizers,,,
5667612805562368,filter bubble - 5667612805562368.wav,sound recording,False,True,False,5833329823711232,,filter bubble,,filter_bubble.wav,5922296581586944,commercial synthesizers,,,
5738196700758016,rattlesnake - 5738196700758016.wav,sound recording,False,True,True,5833329823711232,,rattlesnake,,rattlesnake_rattling.wav,6403461230886912,everyday sounds,,,
5767917874446336,rattlesnake - 5767917874446336.wav,sound recording,False,True,True,5833329823711232,,rattlesnake,,rattlesnake_rattling.wav,6403461230886912,everyday sounds,,,
6260077774241792,rattlesnake - 6260077774241792.wav,sound recording,False,True,True,5833329823711232,,rattlesnake,,rattlesnake_rattling.wav,6403461230886912,everyday sounds,,,
6101169889869824,rattlesnake - 6101169889869824.wav,sound recording,False,False,True,5833329823711232,Mostly satisfied,rattlesnake,,rattlesnake_rattling.wav,6403461230886912,everyday sounds,A rattle snake. ,Confident,
5102975332646912,water dripping - 5102975332646912.wav,sound recording,True,False,False,5833329823711232,Mostly satisfied,water dripping,,water_dripping.wav,4866765418921984,everyday sounds,Droplet sound. ,Very confident,True
5084485095784448,filter bubble - 5084485095784448.wav,sound recording,True,False,False,5833329823711232,Mostly satisfied,filter bubble,,filter_bubble.wav,5922296581586944,commercial synthesizers,One long tone. ,Very confident,
6264519173079040,narrow timbre - 6264519173079040.wav,sound recording,True,False,False,5833329823711232,Mostly satisfied,narrow timbre,,narrow_timbre.wav,5273720012668928,commercial synthesizers,Tone with Chorus effect.,Confident,
5538219936448512,ice synth - 5538219936448512.wav,sound recording,True,False,False,5833329823711232,Somewhat satisfied,ice synth,,ice_synth.wav,6203771558297600,commercial synthesizers,Tone with wind effect.,Confident,
5187338825105408,filter bubble - 5187338825105408.wav,sound recording,False,False,False,6433509090525184,Mostly satisfied,filter bubble,,filter_bubble.wav,5922296581586944,commercial synthesizers,,Confident,
6211286811541504,river - 6211286811541504.wav,sound label,True,False,False,5542844542484480,Somewhat satisfied,river,5082716374564864,,,everyday sounds,,Neutral,
5182591409848320,shimmer - 5182591409848320.wav,sound label,True,False,False,5542844542484480,Neither satisfied or dissatisfied,shimmer,5577908923924480,,,commercial synthesizers,,Not so confident,
5634022537428992,bullet time - 5634022537428992.wav,sound label,True,False,False,5542844542484480,Neither satisfied or dissatisfied,bullet time,6703808830767104,,,commercial synthesizers,,Not so confident,
5738776789778432,doorbell - 5738776789778432.wav,sound label,False,False,False,5542844542484480,Mostly satisfied,doorbell,5754963313557504,,,everyday sounds,,Confident,
4743110894551040,feedback - 4743110894551040.wav,sound recording,False,True,False,5668753656250368,,feedback,,feedback.wav,6481870153842688,commercial synthesizers,,,
5423025692344320,feedback - 5423025692344320.wav,sound recording,False,True,False,5668753656250368,,feedback,,feedback.wav,6481870153842688,commercial synthesizers,,,
5196917139046400,feedback - 5196917139046400.wav,sound recording,False,True,False,5668753656250368,,feedback,,feedback.wav,6481870153842688,commercial synthesizers,,,
4562967081254912,feedback - 4562967081254912.wav,sound recording,False,True,False,5668753656250368,,feedback,,feedback.wav,6481870153842688,commercial synthesizers,,,
4900349647257600,feedback - 4900349647257600.wav,sound recording,False,True,False,5668753656250368,,feedback,,feedback.wav,6481870153842688,commercial synthesizers,,,
6509721137709056,feedback - 6509721137709056.wav,sound recording,False,True,False,5668753656250368,,feedback,,feedback.wav,6481870153842688,commercial synthesizers,,,
6431960754814976,clarinet - 6431960754814976.wav,sound recording,True,False,False,5481482344726528,Mostly satisfied,clarinet,,clarinet.wav,5218609139810304,acoustic instruments,blowing into jar,Confident,
