id,identification_type,training,participant_id,vocal_imitation_id,sound_label,sound_recording,sound_label_id,sound_recording_id,audio_concept_subset,vocal_imitation_filename,participants_vocal_imitation_description,participants_vocal_imitation_description_confidence,selection_sound_label,selection_sound_label_id,selection_sound_recording,selection_sound_recording_id,selection_confidence,selection_match,distractor0_id,distractor1_id,distractor2_id,distractor3_id,distractor4_id,distractor5_id,distractor6_id,distractor7_id,distractor8_id,description_match
5205762825519104,sound recording,False,4702761622962176,5921715418824704,turning pages,pages_turning.wav,5337904809246720,6740125732044800,everyday,turning pages - 5921715418824704.wav,gun fire,Confident,camera,6182228002340864,camera_capturing.wav,4507473687871488,Very confident,False,5496707735355392,6540357407866880,6317191712473088,6203564057690112,6015721247080448,5781351592624128,6403461230886912,4507473687871488,5136111944859648,False
4862665201549312,sound recording,False,4838387898908672,5787611641675776,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 5787611641675776.wav,"person saying ""Stare today""",Not at all confident,camera,6182228002340864,camera_capturing.wav,4507473687871488,Very confident,True,4608346363527168,5778182712066048,5781559093231616,5559036300754944,4866765418921984,6551731555008512,6504591604580352,6278985025585152,6419722513940480,False
5170201972703232,sound recording,False,5067365490360320,5731970206138368,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 5731970206138368.wav,scratching on surface,Neutral,camera,6182228002340864,camera_capturing.wav,4507473687871488,Confident,True,6317191712473088,6015721247080448,6363854116225024,5778182712066048,5136111944859648,6203564057690112,5770142533287936,5699061898280960,5997611785912320,False
4777175689461760,sound recording,False,5082529006616576,4638043109588992,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 4638043109588992.wav,squeaking door,Neutral,camera,6182228002340864,camera_capturing.wav,4507473687871488,Very confident,True,5575297583808512,6749827526295552,5778182712066048,5699061898280960,5218401639202816,6668624458678272,4871711879069696,4947139020980224,6490192995155968,False
5364394489806848,sound recording,False,5104218591461376,5700084771586048,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 5700084771586048.wav,a car horn,Not so confident,camera,6182228002340864,camera_capturing.wav,4507473687871488,Very confident,True,5699061898280960,6138247537229824,4956479232671744,6262723742531584,4590135165321216,5848044113231872,5012347630387200,5981248765820928,6740125732044800,False
6230984403976192,sound recording,False,5108755888865280,5398315805966336,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 5398315805966336.wav,bird chirping,Confident,camera,6182228002340864,camera_capturing.wav,4507473687871488,Very confident,True,5285094159810560,4871711879069696,5710982848446464,4839037110059008,5425831648165888,5575297583808512,6105674505256960,5997611785912320,5191291805630464,False
5740201309634560,sound recording,False,5130871078125568,6752508525412352,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 6752508525412352.wav,ice sweeping ,Neutral,camera,6182228002340864,camera_capturing.wav,4507473687871488,Very confident,True,5218401639202816,4871610142031872,4698299621703680,6578671200501760,5077871651454976,4585290442211328,4788948664582144,5425831648165888,6622607642198016,False
6256688441065472,sound recording,False,5162772954349568,5383427704487936,camera,camera_capturing.wav,6182228002340864,4507473687871488,everyday,camera - 5383427704487936.wav,bird chirping,Confident,camera,6182228002340864,camera_capturing.wav,4507473687871488,Confident,True,4871610142031872,4585290442211328,5908251501658112,4889821340237824,5070423641292800,6749827526295552,4660605646536704,4698299621703680,5716035072163840,False
5772848429793280,sound recording,False,5201677372096512,4646563250962432,cash register,cash_register_opening_closing.wav,5272083898564608,5345301548236800,everyday,cash register - 4646563250962432.wav,slot machine,Neutral,camera,6182228002340864,camera_capturing.wav,4507473687871488,Neutral,False,5153186855780352,4956479232671744,5063826571526144,4866765418921984,5559036300754944,5414457501024256,5070423641292800,4655451685781504,4507473687871488,False
4891481949077504,sound recording,False,5338377658302464,4669669101273088,swords,swords_clashing.wav,5296433947213824,5012347630387200,everyday,swords - 4669669101273088.wav,chicken,Confident,camera,6182228002340864,camera_capturing.wav,4507473687871488,Confident,False,6495251392888832,5786505553379328,4507473687871488,5218401639202816,5351898618003456,5496707735355392,5543135526518784,5716035072163840,5345301548236800,False
